relation_num=2690
entity_num=14951
n=100 rate=0.001
margin= 1margin_rel=1
eval:0 588162
eval:1 181665
eval:2 134371
eval:3 76964.5
eval:4 41922.3
eval:5 36835.6
eval:6 33370.9
eval:7 31464.8
eval:8 28808.4
eval:9 26803.8
eval:10 25520.6
eval:11 24296.7
eval:12 23007.1
eval:13 21921
eval:14 21122.3
eval:15 20228
eval:16 19523.9
eval:17 18731.5
eval:18 18090.9
eval:19 17819.8
eval:20 17070.4
eval:21 16643.7
eval:22 16066.2
eval:23 15800.1
eval:24 15396.9
eval:25 14989.1
eval:26 14510.8
eval:27 14232
eval:28 13982.3
eval:29 13481.1
eval:30 13126.3
eval:31 12991
eval:32 12991.3
eval:33 12493.4
eval:34 12413.6
eval:35 12132.6
eval:36 11907.9
eval:37 11625.3
eval:38 11730
eval:39 11416.3
eval:40 11189.2
eval:41 11016.5
eval:42 10690.1
eval:43 10751.2
eval:44 10705.4
eval:45 10337.7
eval:46 10131.6
eval:47 10084
eval:48 9915.72
eval:49 9688.81
eval:50 9899.33
eval:51 9608.36
eval:52 9467.97
eval:53 9350.27
eval:54 9267.6
eval:55 9062.59
eval:56 9012.67
eval:57 9073.82
eval:58 8784.69
eval:59 8758.57
eval:60 8575.94
eval:61 8610.61
eval:62 8396.29
eval:63 8435.96
eval:64 8226.41
eval:65 8071.28
eval:66 8131.55
eval:67 8114.19
eval:68 7959.75
eval:69 7875.48
eval:70 7813.93
eval:71 7797.85
eval:72 7719.81
eval:73 7540.48
eval:74 7745.45
eval:75 7536.14
eval:76 7539.16
eval:77 7382.29
eval:78 7253.54
eval:79 7221.92
eval:80 7238.61
eval:81 7176.64
eval:82 7250.75
eval:83 7107.13
eval:84 6991.74
eval:85 6975.05
eval:86 7054.6
eval:87 6929.92
eval:88 6847.36
eval:89 6841.88
eval:90 6709.37
eval:91 6693.37
eval:92 6672.13
eval:93 6570.93
eval:94 6606.11
eval:95 6534
eval:96 6576.83
eval:97 6442.29
eval:98 6380.65
eval:99 6350.97
eval:100 6241.91
eval:101 6164.44
eval:102 6231.95
eval:103 6139.05
eval:104 6134.57
eval:105 6149.12
eval:106 6102.17
eval:107 6052.13
eval:108 6012.03
eval:109 5982.6
eval:110 5846.34
eval:111 6097.61
eval:112 5914.14
eval:113 5835.75
eval:114 5742.78
eval:115 5879.03
eval:116 5629.63
eval:117 5757.29
eval:118 5596.9
eval:119 5687.95
eval:120 5608.26
eval:121 5520.58
eval:122 5688.73
eval:123 5613.9
eval:124 5499.95
eval:125 5513.5
eval:126 5660.05
eval:127 5493.06
eval:128 5428.6
eval:129 5525.65
eval:130 5309.8
eval:131 5343.84
eval:132 5265.97
eval:133 5288.93
eval:134 5338.65
eval:135 5279.19
eval:136 5250.62
